cod. ibge;Municipio;Familias;Pessoas;% relativo ao Censo 2022;IVCAD;NC;DPI;DCA;TQA;DR;CH
3502101;Andradina;9.562;19.403;32,50%;0,277;0,377;0,072;0,04;0,62;0,448;0,104
4300661;André da Rocha;216;539;47,50%;-;-;-;-;-;-;-
3102803;Andrelândia;3.094;6.697;56,10%;0,253;0,334;0,07;0,036;0,646;0,361;0,072
3502200;Angatuba;3.819;9.719;40,50%;0,271;0,434;0,096;0,028;0,627;0,333;0,11
3102852;Angelândia;2.208;5.948;77,10%;0,275;0,352;0,1;0,044;0,661;0,339;0,156
5000856;Angélica;2.666;6.039;56,30%;0,289;0,393;0,104;0,069;0,637;0,381;0,149
2601003;Angelim;4.020;8.426;82,30%;0,296;0,279;0,073;0,069;0,702;0,512;0,144
4200903;Angelina;492;1.384;25,80%;0,265;0,396;0,081;0,049;0,634;0,297;0,131
2901403;Angical;4.790;11.205;81,60%;0,312;0,343;0,068;0,062;0,667;0,479;0,25
2200608;Angical do Piauí;2.745;5.329;78,10%;0,314;0,251;0,049;0,027;0,707;0,49;0,358
1701051;Angico;761;2.066;71,80%;0,261;0,376;0,064;0,101;0,607;0,244;0,175
2400802;Angicos;3.456;8.181;70,30%;0,311;0,286;0,07;0,07;0,725;0,417;0,3
3300100;Angra dos Reis;37.106;82.831;49,50%;0,293;0,396;0,075;0,052;0,657;0,44;0,141
2901502;Anguera;3.621;7.126;64,60%;0,294;0,298;0,057;0,056;0,736;0,455;0,162
4101150;Ângulo;545;1.341;41,50%;0,276;0,423;0,049;0,041;0,661;0,326;0,158
5201207;Anhanguera;291;656;71,00%;0,253;0,388;0,037;0,058;0,595;0,341;0,098
3502309;Anhembi;1.593;3.401;59,90%;0,276;0,389;0,074;0,047;0,62;0,437;0,085
3502408;Anhumas;784;2.032;50,50%;0,235;0,395;0,078;0,072;0,596;0,201;0,07
5201306;Anicuns;5.067;10.918;59,00%;0,245;0,352;0,082;0,027;0,591;0,328;0,091
2200707;Anísio de Abreu;2.825;6.473;68,80%;0,28;0,284;0,049;0,034;0,677;0,449;0,185
4201000;Anita Garibaldi;1.680;3.977;48,00%;0,303;0,343;0,077;0,013;0,676;0,395;0,315
4201109;Anitápolis;381;1.086;30,20%;0,273;0,415;0,123;0,047;0,628;0,258;0,164
1300102;Anori;5.480;12.612;73,40%;0,304;0,319;0,092;0,078;0,617;0,477;0,243
4300703;Anta Gorda;484;1.259;21,10%;0,276;0,395;0,1;0,047;0,633;0,299;0,181
2901601;Antas;3.981;7.777;54,70%;0,266;0,243;0,054;0,015;0,691;0,467;0,128
4101200;Antonina;4.639;10.312;57,00%;0,283;0,344;0,092;0,045;0,644;0,424;0,146
2300804;Antonina do Norte;3.213;6.261;86,40%;0,288;0,254;0,045;0,021;0,719;0,504;0,184
2200806;Antônio Almeida;887;2.280;72,30%;0,301;0,365;0,088;0,102;0,627;0,409;0,217
2901700;Antônio Cardoso;4.116;8.762;78,60%;0,299;0,314;0,096;0,069;0,642;0,447;0,227
3102902;Antônio Carlos;2.106;5.072;45,70%;0,261;0,338;0,075;0,026;0,646;0,378;0,104
4201208;Antônio Carlos;653;1.855;16,50%;0,267;0,444;0,078;0,07;0,585;0,278;0,147
3103009;Antônio Dias;2.111;5.236;56,80%;0,283;0,358;0,091;0,056;0,676;0,306;0,213
