cod. ibge;ano;pib;impostos_liquidos;va;va_agropecuaria;va_industria;va_servicos;va_adespss
4313425;2021;186353;8138;178215;111829;4556;35026;26805
1710508;2021;186260;7636;178624;91064;3966;26480;57114
3521507;2021;186223;7346;178877;73484;9689;59247;36458
2303006;2021;186169;13559;172609;20721;7324;55813;88751
2922607;2021;185997;5633;180364;74104;9602;35430;61228
2932804;2021;185966;11770;174197;29859;9273;61595;73470
4315313;2021;185962;6742;179220;122342;8272;30121;18486
2500809;2021;185877;7107;178771;33101;8850;39751;97068
1303601;2021;185817;5139;180678;17853;6116;25474;131235
4121307;2021;185664;8108;177555;102585;12333;38600;24037
1101807;2021;185648;6737;178912;100039;4130;20871;53871
2408953;2021;185593;9478;176115;32817;31176;35592;76529
2613305;2021;185467;7606;177861;17395;6234;46770;107462
1304237;2021;185410;5942;179469;13062;7589;33007;125811
1715705;2021;185349;8171;177178;85088;5025;35342;51724
4103057;2021;185336;11313;174023;58202;9510;62505;43807
3553500;2021;185138;8310;176829;68949;11579;55735;40565
2305209;2021;185025;8040;176984;32788;8759;53115;82322
1300201;2021;184947;4354;180594;26576;5316;25013;123689
1200344;2021;184904;9125;175779;55704;11432;33663;74979
3526506;2021;184896;7679;177217;69549;4259;50633;52776
3542503;2021;184875;6969;177906;69046;6299;55622;46939
2311264;2021;184720;9748;174972;27760;5411;51976;89826
1600204;2021;184496;7926;176570;16007;9920;37939;112703
1100262;2021;184430;6198;178233;115354;7565;18756;36557
